id,name,screen_name,followers_count,friends_count
101561169,Jennifer Neville,ProfJenNeville,1063,358
101824202,giovanna miritello,gmiritello,1650,963
10204352,Scott Counts,scottjcounts,931,211
1022977543,Declan Butler-Nature,DeclanButlerNat,1266,502
10239,Nikete,nikete,3381,1113
10350,Veronica Belmont,Veronica,1786118,1353
1039531,Jonathan Zittrain,zittrain,42175,6187
103973912,CompleNet 2018,CompleNet,1164,632
103989154,ICWSM,icwsm,2745,688
104070525,Carin Anne Bondar,carinbondar,29631,2789
104246788,Phil Howard,pnhoward,5212,592
1046598080,Brennan Klein,jkbren,498,424
1051171,Ethan Zuckerman,EthanZ,48056,1717
10587552,Michael Bernstein,msbernst,7090,1368
1059273780,Adam Grant,AdamMGrant,127342,994
10716662,Michael Simmons,michaeldsimmons,15528,738
107225267,Steven Pinker,sapinker,356169,40
1075114165,ClaytonNall,ClaytonNall,1781,3066
10778572,Brad DeLong 🖖🏻,delong,67541,1567
108977933,David Rothschild,DavMicRot,16626,94
109303284,Maya Sen,maya_sen,8067,1327
110050273,Justin Grimmer,justingrimmer,2742,1952
11086372,Karim R. Lakhani,klakhani,8551,2169
11107172,Alexis C. Madrigal,alexismadrigal,203483,5646
111416652,Joseph Stiglitz,stiglitzian,234018,27
1126671,Robert Kirkpatrick,rgkirkpatrick,4397,1072
1131850758,Volunteer Science,VolunteerSci,1563,1732
11348282,NASA,NASA,27324582,270
11388132,Lessig,lessig,373784,294
1149541562,ComplexityExplorer,ComplexExplorer,9264,268
116297274,kate coronges,coronges,268,211
116630713,Monkey Cage,monkeycageblog,39728,410
1169143062,Evelyn Panagakou,evepanag,175,308
116994659,Sam Harris,SamHarrisOrg,961763,225
117539435,Jen Golbeck,jengolbeck,9497,346
11778512,Mason Porter,masonporter,1234,0
11990112,Quercia,danielequercia,5332,5013
12,jack,jack,4133092,3188
12014302,Nick Diakopoulos,ndiakopoulos,5024,796
122724789,SEES Lab,sees_lab,1101,621
1242788624,Peter Turchin,Peter_Turchin,4879,157
124690469,Yanis Varoufakis,yanisvaroufakis,927003,252
12551552,David Karger,karger,2454,92
12565032,Mimi Ito,mizuko,10261,272
1259043697,Data for Social Good,datascifellows,20736,209
127305588,Jerry Coyne,Evolutionistrue,34587,0
12819112,PLOS,PLOS,125072,13128
128292609,Jennifer Ouellette,JenLucPiquant,33689,639
1290351,Nancy Baym,nancybaym,8221,658
13,Biz Stone,biz,3018953,916
1305941,Jason Kottke,jkottke,263881,232
1307251459,Claudia Mihai,claudia_mihai,511,847
1307569508,saray shai,sarayshai,666,587
1314101,Eytan Adar,eytanadar,1738,829
13205612,Manuel Lima,mslima,12078,1171
1322412710,Elisa Bellotti,Elisabel76,424,114
1330457336,Bill Clinton,BillClinton,9348969,31
1339835893,Hillary Clinton,HillaryClinton,20317478,771
1344951,WIRED,WIRED,9890977,311
134908142,Arun Sundararajan,digitalarun,19121,1831
135316691,Jad Abumrad,JadAbumrad,320935,482
1362984396,Dino Pedreschi,DinoPedreschi,1031,777
136325501,PLOS Comp Biol,PLOSCompBiol,14018,389
136658155,Robert Kraut,robertekraut,134,23
13725202,amaral,amaral,878,147
13731562,Devin “this website is a hellscape” Gaffney,DGaff,1030,508
1376401838,Iyad Rahwan,iyadrahwan,2778,244
13787402,The NPR Science Desk,nprscience,252249,247
